буквавес черного;Удельный вес;Координаты центра тяжести x;Координаты центра тяжести y;Нормированные координаты центра тяжести x;Нормированные координаты центра тяжести y;Осевые моменты инерции по x;Нормированные осевые моменты инерции по x;Осевые моменты инерции по  y;Нормированные осевые моменты инерции по y
ա;283;0.4812925170068027;13.335689045936396;8.63250883392226;0.45687737207171836;0.381625441696113;129.21985541085544;0.10548559625375954;236.15978473947735;0.19278349774651213
բ;262;0.5019157088122606;10.141221374045802;16.0381679389313;0.5377189043556354;0.5370774263904036;143.0854262572111;0.1228201083752885;0.9251209136996662;0.0007940952048924174
գ;359;0.5626959247648903;10.33983286908078;15.493036211699165;0.4447539461467038;0.517608436132113;156.4241432018684;0.11805595713348557;30.326650165656684;0.02288803786087297
դ;361;0.5927750410509032;10.470914127423823;15.745152354570637;0.47354570637119114;0.5266125840918084;150.1812908126856;0.11714609267760187;18.103728485815797;0.014121473077859437
ե;262;0.5019157088122606;9.759541984732824;11.961832061068701;0.515267175572519;0.39149400218102504;257.2228308373638;0.22079212947413202;25.383136180875248;0.021788099726073176
զ;362;0.567398119122257;10.306629834254144;15.058011049723756;0.44317284925019734;0.5020718232044199;79.95916638686244;0.06034654066933014;35.30723268520498;0.026646968064305644
է;264;0.5689655172413793;9.704545454545455;13.113636363636363;0.5803030303030303;0.43262987012987014;221.6038223140496;0.20200895379585196;3.5583677685950423;0.0032437263159480786
ը;235;0.4501915708812261;9.6;13.953191489361702;0.5058823529411764;0.4626139817629179;100.93836124943414;0.0866423701711881;9.283042100497966;0.007968276481114133
թ;359;0.5158045977011494;13.337047353760445;16.568245125348188;0.5363933632069758;0.556008754476721;130.68501951412546;0.09222654870439341;41.367470767607344;0.02919369849513574
ժ;397;0.5952023988005997;10.982367758186397;13.073047858942065;0.4537439890084726;0.4311802806765023;222.81390022143407;0.16263788337330953;79.69047452873885;0.05816822958302106
ի;365;0.5802861685214626;9.276712328767124;18.65205479452055;0.5172945205479452;0.4903348554033486;300.95120285231746;0.18151459761900932;7.033394633139429;0.00424209567740617
լ;125;0.4789272030651341;6.0;12.0;0.625;0.39285714285714285;144.0;0.1561822125813449;16.0;0.01735357917570499
խ;664;0.640926640926641;14.643072289156626;17.96987951807229;0.5052989736724677;0.47138554216867473;325.08524459282916;0.15099175317827643;81.54307591813034;0.03787416438371126
ծ;314;0.5508771929824562;9.003184713375797;12.9171974522293;0.44462137296532206;0.41093784318032067;258.65653779057976;0.205120172712593;25.83488173962433;0.02048761438511049
կ;366;0.5818759936406995;7.871584699453552;17.37431693989071;0.429474043715847;0.4548421372191864;107.62645196930337;0.0649134209706293;1.888747051270569;0.0011391719247711514
